legacy              遗产,已停产的
migration           迁移
paramount           至高无上的，元首
retrofit            改进，翻新
conservative        保守的，保守的人
pessimistic         悲观主义的
gadget              小装置
convention          习惯，常规，大会
patch               补丁，修补
conservation        保护，守恒
stance              立场，站姿，姿态
tentatively         初步地，尝试性地
facto               事实上
deem                认为；当成；相信
delineate           描绘
subtler             精巧的；微妙的；狡猾的；不易察觉的
rigorous            谨慎的；彻底的；严格的
mutate              突变；转变；
alleviate           减轻；缓解；缓和
shed                摆脱，去除，脱落，工棚
mundane             单调的；平凡的；世俗的
hinder              阻碍，妨碍，后面的
seamless            无缝的
chunk               大块，数据块
deviant             不正常的，偏离轨道的
deduce              推断；演绎；推论
pitfall             困难；隐患；陷阱
defect              缺陷；叛变
revamp              翻修，改造
intuition           直觉
opaque              不透明的，浑浊的
mutation            突变；转变；
presumably          大概；很可能；
buggy               古怪的，有毛病的
fragment            片段，小片，分割
deliver             交付；发表；兑现；传送
sloppy              马虎的，凌乱的
prototype           原型，最初态
underlying          根本的，潜在的，隐含的，在下面的

envision            想象；展望
plurality           众多；大量；多元的
assurance           保证；担保；
inspect             检查；视察；查看；
dissect             剖析
unveil              推出；为…揭幕；揭露
emit                发出；散发
preliminary         预备性的；初步的；开始的
encapsulate         压缩；简述；概括
restrictive         限制性的；约束的
alignment           对齐，联盟
legitimate          合法的，正当的，使合法
multitude           众多，人群，大众
versus              对，与...相对
intercept           拦截，截距
indispensable       不可或缺的
aggregate           总数，合计总数的，聚合
coagulate           凝结，使凝固，凝块
unwind              放松，解开
mandate             授权，要求，强制执行
prologue            序幕，成为...开端
epilogue            尾声

traverse            产国，横渡，横断的，遍历，导线，横切，可横越之处
drastically         激烈地，大大地
template            模板；样板；
self-containment    自我控制
degradation         退化，堕落，潦倒
prevail             流行；占优势；战胜
concrete            混凝土，使结合，实在的，具体的
bigint              一种数据类型（big+int）
arithmetic          算术，四则运算
mitigate            减轻；缓解；平息
constraint          约束；限制；约束条件
derivable           可推论出的，可引申出的
formulate           制定，准备，规划
pitfall             陷阱
self-evident        不言而喻的
multilingual        多种语言的

















