directive               指示，指令，指导，伪指令
dedicate                致力于，献身，把...奉献给
intact                  完整的；完好无损的
luxury                  奢华的，奢侈品
relocatable             重新定址的
conform                 顺从，使一致，遵从
at will                 任意地，随意地
gloss                   光亮，光泽，注释
innards                 内脏，内部结构
stub                    存根，树桩
overwhelm               压倒，淹没，击败
misnomer                用词不当
blob                    污染，一点（液体），（鱼）跳水
hydrologist             水文工作者
indicate                指示；表明；显示；象征
protocol                协议，礼节，条约草案
exfiltration            偷偷越过，渗出
strive                  努力，奋斗，斗争
dedicated               专注的，专用的，有奉献精神的
allocate                分配，配给，划拨
prioritize              给…排出优先级；优先处理
proficient              专家；熟练的；精通的
throughput              吞吐量；吞吐率；生产能力
overwhelm               压倒，淹没，击败
several orders of magnitude  
retain                  保留；持有
redzones                禁区
corrupt                 破坏；使腐化；贪污的；受贿的
deduplication           删除重复数据
tame                    养驯的；驯服的；平淡无奇的；驯化；使易于控制
introspection           反省；内省
supersede               取代
dissect                 剖析；解剖；仔细研究
stochastic              随机的，随机性
consecutively           依次序
steer                   引导；控制；建议；忠告
brittle                 硬但易碎的；脆性的
inferior                较差的；次的；级别低的
phrase                  短语，分乐节(v)
stateful                状态的
ledger                  收支总账；分类账簿；分户账簿
obstacle                障碍；障碍物
revert                  回复；返回；归属；恢复原来信仰的人
arity                   元数；属性元数
spacecraft              宇宙飞船
spin                    旋转；纺纱；自转
reap                    取得（成果）；收获
mitigate                减轻；缓解
thwart                  阻止，阻碍；穿过的；不利的
synthesize              综合，合成
fabricate               伪造；制作
saturate                浸透；使充满；使饱和；饱和的
diligent                孜孜不倦的；勤勉的；刻苦的
retrieve                找回；取回
distort                 扭曲；使变形；使失真
bandit                  土匪，强盗
cubicle                 小隔间
lone                    单独的；独自的
orchestrate             精心安排,密谋
equate                  同等看待；使等同
pragmatist              实用主义者
emphatically            强调地；断然地
depict                  描述；描绘
ex post facto           事后的；有追溯效力的；在事后
with respect to         关于，考虑到
