plow            犁，耕种
saliency        显著性；特色；凸出
reason about    推断
disparity       差异
spurious        虚假的，谬误的，伪造的
auxiliary       辅助的，辅助人员
traversal       遍历，障碍物
fall through    失败
mutually        相互地
coherent        合乎逻辑的；有条理的；连贯的
gist            主旨
jot             匆匆记下，一点
referee         裁判员，裁定，担任裁判
thrust          刺，冲，猛推
acronym         缩写词
assertion       断言；主张；认定；声名
repertoire      全部技能
pinpoint        针尖；确定；精准定位
drown           溺死
peripheral      外部设备，周围的
firmware        固件
assessment      评估，判定
primitive       原始的，原始人，原始事物
shed            工棚，去除
strip           带子，夺走，被拿走外皮的
daemon          守护进程
bogus           伪造物
retrieve        找回，取回，恢复
scalable        可扩展的，可攀登的，可伸缩的
implication     暗示，含义











